title,release_year,budget,revenue,profit
Avatar,2009,237000000,2787965087,2550965087
Titanic,1997,200000000,1845034188,1645034188
The Avengers,2012,220000000,1519557910,1299557910
Jurassic World,2015,150000000,1513528810,1363528810
Furious 7,2015,190000000,1506249360,1316249360
Avengers: Age of Ultron,2015,280000000,1405403694,1125403694
Frozen,2013,150000000,1274219009,1124219009
Iron Man 3,2013,200000000,1215439994,1015439994
Minions,2015,74000000,1156730962,1082730962
Captain America: Civil War,2016,250000000,1153304495,903304495
